,doi
369,10.1007/s11235-009-9243-0
370,10.1109/TSE.2014.2354043
371,10.1287/mnsc.2014.2084
372,10.1080/09511920412331284753
373,10.1111/j.1540-5915.2011.00347.x
374,10.1386/tmsd.12.2.185_1
375,10.1287/ijoc.2014.0624
376,10.1111/j.1540-5885.2009.00684.x
377,10.1377/hlthaff.2012.0644
378,10.1080/01608061.2011.619418
379,10.1300/J109v10n401
380,10.1111/ijsa.12044
381,10.1207/s15327590ijhc2001_5
382,10.1080/09613218.2013.743398
383,10.1002/kpm.232
384,10.5465/amj.2009.0862
385,10.1080/10447318.2011.565706
386,10.1287/isre.2014.0522
387,10.1007/s10729-007-9036-5
388,10.3233/ISU-130697
389,10.1080/00207540600943993
390,10.1007/s10766-012-0219-4
391,10.1177/0091026015604447
392,10.1111/j.1365-2575.2010.00349.x
393,10.1080/0376835X.2012.730974
394,10.1002/asi.20154
395,10.1137/S0036144503424786
396,10.1287/ijoc.2013.0570
397,10.1080/00207543.2011.570421
398,10.1111/j.1540-4609.2008.00199.x
399,10.1287/isre.1100.0288
400,10.1080/00207540600865386
401,10.1002/asi.20565
402,10.1057/palgrave.dam.3650085
403,10.1177/0972262915599465
404,10.2308/accr.00000040
405,10.3233/IFS-151969
406,10.1111/j.1468-0394.2007.00427.x
407,10.1386/ijtm.7.1.19_1
408,10.1145/1330311.1330325
409,10.1 177l0047287506291598
410,10.1111/risa.12262
411,10.1002/nav.21528
412,10.1007/s00291-010-0195-2
413,10.1080/01449290601176948
414,10.1080/00207543.2013.849011
415,10.1080/13669877.2010.486076
416,10.1287/isre.1050.0043
417,10.1080/0951192X.2012.749532
418,10.1080/09613210500285064
419,10.1111/j.1467-9310.2008.00523.x
420,10.1002/hrm.21499
421,10.3233/WOR-141916
422,10.1111/j.1530-9290.2011.00353.x
423,10.3233/IFS-2012-0616
424,10.1377/hlthaff.2014.0053
425,10.1002/asi.21115
426,10.1111/j.1944-8287.2010.01084.x
427,10.1111/cgf.12384
428,10.1002/mde
429,10.1080/00207540801927183
430,10.1080/09511920600930038
431,10.1007/s10207-008-0074-x
432,10.1080/14719037.2012.707680
433,10.1111/poms.12020
434,10.1080/09603107.2013.859375
435,10.1111/1460-6984.12153
436,10.1111/j.1468-5973.2010.00618.x
437,10.1057/palgrave.dam.3650100
438,10.1080/02664763.2014.986076
439,10.1002/sdr.359
440,10.1002/asi.23025
441,10.1007/s10257-007-0065-x
442,10.1080/00207543.2013.775523
443,10.1287/isre.1050.0045
444,10.1145/1247001.1247020
445,10.1137/060658400
446,10.1111/faam.12061
447,10.1287/mnsc.1070.0795
448,10.1145/2492007.2492017
449,10.1111/j.1468-0408.2008.00449.x
450,10.3233/IFS-151602
451,10.1080/10580530903455221
452,10.1109/MS.2013.83
453,10.1137/050641132
454,10.1080/07421222.2014.1001255
455,10.1080/00207543.2014.918286
456,10.1287/isre.2014.0521
457,10.1080/00207543.2010.550639
458,10.15208/pieb.2015.05
459,10.1007/s11077-013-9181-2
460,10.1080/07408170600941649
461,10.1080/10580530802384761
462,10.1287/orsc.2014.0957
463,10.1111/j.1540-5915.2011.00349.x
464,10.1287/isre.1080.0227
465,10.1080/00207540801905452
466,10.1002/sres.959
467,10.1080/07421222.2015.1138364
468,10.1007/s10257-013-0224-1
469,10.1080/00207543.2013.831998
470,10.1080/15332969.2015.1046777
471,10.1080/13678860601032635
472,10.1080/14719030903318988
473,10.1111/j.1467-6419.2010.00641.x
474,10.1002/pmj.20176
475,10.1061/(ASCE)0742-597X(2009)25:2(69)
476,"10.5600/mmrr.004.03.b01 Peebles, V."
477,10.1049/iet-map:20070268
478,10.1109/TSE.2013.15
479,10.1049/ip-cds:20050278
480,10.1080/14783360701602056
481,10.1080/01930820903422347
482,10.1386/ijtm.4.2.113/1
483,10.5465/amj.2013.0724
484,10.1287/isre.1120.0437
485,10.1080/02642060903580649
486,10.1080/0144929X.2012.687771
487,10.1080/00207540600940288
488,10.5465/AMP.2008.35590351
489,10.1111/poms.12298
490,10.1002/isaf.1358
491,10.1145/1924421.1924423
492,10.1509/jmkr.47.3.485
493,10.1080/14783360903561761
494,10.6126/APMR.2014.19.4.06
495,10.1089/cpb.2005.8.89
496,10.1007/s10100-013-0298-3
497,10.1007/s10257-011-0165-5
498,10.1287/inte.2013.0719
499,10.1080/13600830600676438
500,10.1179/175330311X12943314049538
501,10.1089/cyber.2012.0606
502,10.2308/jmar-50847
503,10.1080/10580530.2012.716992
504,10.1002/kpm.319
505,10.1007/s10726-008-9142-x
506,10.1258/hsmr.2009.009019
507,10.1080/0951192X.2011.627945
508,10.1300/J179v05n04_06
509,10.5465/AMR.2006.21318917
510,10.1007/s10726-006-9055-5
511,10.1007/s10696-012-9164-1
512,10.1002/asi.22656
513,10.1080/0267257X.2010.495284
514,10.1287/mnsc.1110.1493
515,10.1002/pmj.21302
516,10.1089/cyber.2010.0350
517,10.1287/isre.2015.0592
518,10.1080/00207543.2014.900201
519,10.1377/hlthaff.28.2.w294
520,10.1049/ip-cta:20050294
521,10.2105/AJPH.2014.302392
522,10.1287/mnsc.2013.1848
523,10.1111/j.1559-1816.2010.00712.x
524,10.1002/asi.21359
525,10.1111/j.1365-2575.2007.00231.x
526,10.5755/j01.em.17.1.2293
527,10.1111/j.1937-5956.2012.01390.x
528,10.3168/jds.2012-6074
