,author_name
681,"(Katja, Sigel)"
682,"(Albert, Gatt)"
683,"(François, Portet)"
684,"(Ehud, Reiter)"
685,"(Jim, Hunter)"
686,"(Saad, Mahamood)"
687,"(Wendy, Moncur)"
688,"(Somayajulu, Sripada)"
689,"(Olivier, Lavastre)"
690,"(Angappa, Gunasekaran)"
691,"(Alain, Spalanzani)"
692,"(S. K., Vickery)"
693,"(C., Droge)"
694,"(P., Setia)"
695,"(V., Sambamurthy)"
696,"(Mark N., Frolick)"
697,"(Ray, Lovett)"
698,"(Jodie, Fisher)"
699,"(Fadwa, Al-Yaman)"
700,"(Phyll, Dance)"
701,"(Hassan, Vally)"
702,"(Rich, Ling)"
703,"(Byungun, Yoon)"
704,"(Rob, Phaal)"
705,"(David, Probert)"
706,"(Dong Hee, Lee)"
707,"(Duk Hee, Lee)"
708,"(Robert, Woog)"
709,"(Robert Y., Cavana)"
710,"(Roger, Roberts)"
711,"(Roger, Packham)"
712,"(Isaac, Karikari)"
713,"(John, Stillwell)"
714,"(Fernando, Beltrán)"
715,"(Natalia, Santamaría)"
716,"(Niklas, Karlsson)"
717,"(George, Loewenstein)"
718,"(Duane, Seppi)"
719,"(Seyed M., Iravani)"
720,"(Bora, Kolfal)"
721,"(Mark P., Van Oyen)"
722,"(Haibing, Lu)"
723,"(Jaideep, Vaidya)"
724,"(Vijayalakshmi, Atluri)"
725,"(Yingjiu, Li)"
726,"(Elmar, Kutsch)"
727,"(John, Ward)"
728,"(Mark, Hall)"
729,"(John, Algar)"
730,"(Jiun Ting, Chen)"
731,"(Murat, Uzam)"
732,"(Bernhard, Swoboda)"
733,"(Andrea, Schlüter)"
734,"(Edith, Olejnik)"
735,"(Dirk, Morschett)"
736,"(Avantika, Singh)"
737,"(Gyan, Prakash)"
738,"(Lukas, Schoenenberger)"
739,"(Alexander, Schmid)"
740,"(Markus, Schwaninger)"
741,"(Maureen A., Pirog)"
742,"(Craig L., Johnson)"
743,"(Nigel, Lockett)"
744,"(Frank, Cave)"
745,"(Ron, Kerr)"
746,"(Sarah, Robinson)"
747,"(Lesław H., Haber)"
748,"(Katarzyna, Garwol)"
749,"(Debasish, Ghosh)"
750,"(Gavriel, Meirovich)"
751,"(Robin R., Sears)"
752,"(Miguel, Pinedo-Vasquez)"
753,"(Benjamin, Melamed)"
754,"(Yihong, Fan)"
755,"(Yao, Zhao)"
756,"(Yorai, Wardi)"
757,"(Nikola, Minić)"
758,"(Angelina, Njeguš)"
759,"(Alan, White)"
760,"(Evelyn, Deguit)"
761,"(William, Jatulan)"
762,"(Liza, Eisma-Osorio)"
763,"(Jaime, Snyder)"
764,"(Robert, Heckman)"
765,"(Michael J., Scialdone)"
766,"(Susanne, Schulz)"
767,"(Crystal, Collins-Camargo)"
768,"(Bowen, McBeath)"
769,"(Karl, Ensign)"
770,"(Hai, Zhuge)"
771,"(Rafael, Melendreras-Ruiz)"
772,"(Gabriel, Franco-Martínez)"
773,"(Der Chiang, Li)"
774,"(Chien Chih, Chen)"
775,"(Che Jung, Chang)"
776,"(Wen Chih, Chen)"
777,"(Ahmad, Kaleem)"
778,"(Saima, Ahmad)"
779,"(Phillip G., Bradford)"
780,"(Michael N., Katehakis)"
781,"(W., Yang)"
782,"(X., Xu)"
783,"(Nilesh, Saraf)"
784,"(Huigang, Liang)"
785,"(Yajiong, Xue)"
786,"(Shanshan, Qiu)"
787,"(Ratna Babu, Chinnam)"
788,"(Alper, Murat)"
789,"(Bassam, Batarse)"
790,"(Hakimuddin, Neemuchwala)"
791,"(Will, Jordan)"
792,"(Pernille, Bjørn)"
793,"(Teresa, Doménech)"
794,"(Michael, Davies)"
795,"(Brad S., Trinkle)"
796,"(Ruey Shun, Chen)"
797,"(Chia Ming, Sun)"
798,"(Marilyn M., Helms)"
799,"(Wen Jang, Jih)"
800,"(Marinela, MIRCEA)"
801,"(Lambros, Lambrinos)"
802,"(Constantinos, Djouvas)"
803,"(Gabriel B., Grant)"
804,"(Thomas P., Seager)"
805,"(Guillaume, Massard)"
806,"(Loring, Nies)"
807,"(Elliot, Bendoly)"
808,"(Bill, Sallas)"
809,"(Sean, Lane)"
810,"(Robert, Mathews)"
811,"(Thomas, Watkins)"
812,"(Sonja, Wiley-Patton)"
813,"(Sebastian, Zurheide)"
814,"(Kathrin, Fischer)"
815,"(Xueqing, Zhang)"
816,"(Charles, Zech)"
817,"(William, Wagner)"
818,"(Robert, West)"
819,"(Dimitrios G., Stratogiannis)"
820,"(Georgios I., Tsiropoulos)"
821,"(Alexey, Vinel)"
822,"(Yevgeni, Koucheravy)"
823,"(Eirini Eleni, Tsiropoulou)"
824,"(Qian, Zhou)"
825,"(Christopher W., Karvetski)"
826,"(Jeffrey M., Keisler)"
827,"(Igor, Linkov)"
828,"(Yen Yao, Wang)"
829,"(Andy, Luse)"
830,"(Anthony M., Townsend)"
831,"(Brian E., Mennecke)"
832,"(Iv??n, Marinovic)"
833,"(Shlomo, Berkovsky)"
834,"(Tsvi, Kuflik)"
835,"(Francesco, Ricci)"
836,"(Joana, Micael)"
837,"(Ana C., Costa)"
838,"(Paula, Aguiar)"
839,"(António, Medeiros)"
840,"(Helena, Calado)"
841,"(Nurcin, Celik)"
842,"(Young Jun, Son)"
843,"(Ewan, Nettleton)"
844,"(Ian, Turner)"
845,"(Sehl, Mellouli)"
846,"(Luis F., Luna-Reyes)"
847,"(Jing, Zhang)"
848,"(Azzedine, Boukerche)"
849,"(Amir, Darehshoorzadeh)"
